modality_pair,tissue,within_mean,between_mean,delta,n_within,n_between,within_var,between_var
Accessibility | CAGE,hepatocyte,0.1004871353507042,0.09408394772381069,0.0064031876268935,6,5426,0.00044224840407290113,0.0006480163890233079
Accessibility | HistoneChIP,k562,0.05922580636706698,0.04974709485274419,0.009478711514322787,64,20588,0.004513786256547739,0.0017459247591233664
Accessibility | HistoneChIP,keratinocyte,0.03141737644494112,0.0609824267131115,-0.029565050268170377,7,7580,0.004388784317743369,0.0025115645675547545
Accessibility | HistoneChIP,kidney,0.07912402648606107,0.05522455964986381,0.02389946683619726,234,39489,0.006180734998116757,0.0032238749181532447
Accessibility | HistoneChIP,large intestine,0.023040289614939303,0.05772175414383553,-0.03468146452889623,84,32088,0.008123852858180479,0.003368661020681024
Accessibility | HistoneChIP,liver,0.05303576966010345,0.04494684569062367,0.008088923969479779,48,23142,0.003888361561629736,0.0029028611900271117
Accessibility | HistoneChIP,lncap clone fgc,0.17234845459461212,0.05645887903068732,0.1158895755639248,2,4719,0.00012649051974733538,0.002454281297562209
Accessibility | HistoneChIP,lung,0.026670066321020595,0.042170321941242914,-0.015500255620222319,312,44163,0.0029144637829176187,0.002471971531907718
Accessibility | HistoneChIP,mammary epithelial cell,0.01106505306875881,0.04271756586514352,-0.03165251279638471,17,15610,0.00650231432210238,0.0026981041184625334
Accessibility | HistoneChIP,mcf-7,0.09992250621629258,0.049557812370050455,0.05036469384624212,15,14004,0.005149822239424734,0.0032496882513519134
Accessibility | HistoneChIP,mesenchymal stem cell,0.026943480715007437,0.039940622575011527,-0.012997141860004089,33,28458,0.0017388786984138343,0.0015472130028560845
Accessibility | HistoneChIP,mesendoderm,-0.00011775048915296793,0.035485764687873164,-0.03560351517702613,19,17216,0.00383086054799392,0.0013775249229452322
Accessibility | HistoneChIP,mesodermal cell,0.03398581101958241,0.03677933733388785,-0.0027935263143054404,7,7580,0.0027116050429264738,0.0025400594304730894
Accessibility | HistoneChIP,mm.1s,0.10608671667675178,0.035106297247609004,0.07098041942914277,12,11595,0.038911891455360836,0.00246547485319433
Accessibility | HistoneChIP,muscle of leg,0.031097508289922887,0.0513607330543845,-0.020263224764461615,65,29362,0.004983251282480703,0.0032377937970737773
Accessibility | HistoneChIP,muscle of trunk,0.050198240490216345,0.04904586834012763,0.001152372150088718,18,10671,0.006401134839376411,0.003320304157881994
Accessibility | HistoneChIP,"naive thymus-derived cd4-positive, alpha-beta t cell",0.006293641077354551,0.03906420005327133,-0.03277055897591678,15,14004,0.001959729314198341,0.002349694014883623
Accessibility | HistoneChIP,natural killer cell,0.058379223156306476,0.05159339009105139,0.006785833065255084,18,10671,0.009289599755234584,0.0030240945054971196
Accessibility | HistoneChIP,neural progenitor cell,0.0063931427818412585,0.038646286799063845,-0.03225314401722259,12,11595,0.00914114582316204,0.0020469681289382383
Accessibility | HistoneChIP,neuronal stem cell,0.01581269409507513,0.043398438037222674,-0.027585743942147543,27,23640,0.008843403794923963,0.0018005110329844273
Accessibility | HistoneChIP,oci-ly7,0.04585264126459757,0.035966428557957626,0.009886212706639946,9,9186,0.013808291785376731,0.0023998807514760273
Accessibility | HistoneChIP,osteoblast,0.05429588288534433,0.04697569508703715,0.007320187798307176,10,9989,0.003709094024589695,0.002591102835483954
Accessibility | HistoneChIP,pancreas,0.02922961028586239,0.04958538453682246,-0.02035577425096007,24,13530,0.00329983152088284,0.0022802076811319393
Accessibility | HistoneChIP,pc-9,0.016701039285040818,0.042456662671128055,-0.025755623386087237,13,12398,0.011353921804335127,0.0022095933160046323
Accessibility | HistoneChIP,peyer's patch,0.0796283115632832,0.057829709811566064,0.02179860175171714,24,12618,0.005134660149183248,0.0026129791086055443
Accessibility | HistoneChIP,placenta,0.0642109448811324,0.05544206709178605,0.008768877789346347,180,33720,0.004796428708556915,0.002284143007156373
Accessibility | HistoneChIP,prostate gland,0.03880996257066727,0.0680234947279861,-0.02921353215731884,1,2762,0.0,0.002589103246217225
Accessibility | HistoneChIP,psoas muscle,0.021511467279527675,0.03759589587527979,-0.016084428595752116,22,12729,0.0032459749536973147,0.002314909017873919
Accessibility | HistoneChIP,right atrium auricular region,0.04657022238243371,0.06780716785446426,-0.021236945472030554,10,7923,0.0022423259986985664,0.002043976649542004
Accessibility | HistoneChIP,right lobe of liver,0.10068330811336637,0.07628230688952793,0.02440100122383844,5,5974,0.011023585170925524,0.0023192348815883205
